Question,Question Type,Sub Category,Category
Are there any parts of the city where you live which you are afraid to visit after dark? Where? Why?,NON_TECHNICAL,FEAR,Emotion
Are there certain weather conditions that scare people? What are they? Why do people become scared?,NON_TECHNICAL,FEAR,Emotion
Are you afraid of flying?,NON_TECHNICAL,FEAR,Emotion
Are you afraid of ghosts?,NON_TECHNICAL,FEAR,Emotion
Are you afraid of giving a speech in public?,NON_TECHNICAL,FEAR,Emotion
Are you afraid of heights?,NON_TECHNICAL,FEAR,Emotion
Are you afraid of scary movies?,NON_TECHNICAL,FEAR,Emotion
Are you afraid of the dark?,NON_TECHNICAL,FEAR,Emotion
Are you afraid to die? Why?,NON_TECHNICAL,FEAR,Emotion
Are you afraid of getting old? Why?,NON_TECHNICAL,FEAR,Emotion
Are there any numbers that people are afraid of in your culture?,NON_TECHNICAL,FEAR,Emotion
Do you fear certain insects or animals? Why?,NON_TECHNICAL,FEAR,Emotion
Do you know anyone with a phobia?,NON_TECHNICAL,FEAR,Emotion
Do you like horror movies?,NON_TECHNICAL,FEAR,Emotion
Do you think young children should be allowed to watch horror movies?,NON_TECHNICAL,FEAR,Emotion
How do you react when you see something frightening?,NON_TECHNICAL,FEAR,Emotion
Is there any person you are afraid of?,NON_TECHNICAL,FEAR,Emotion
Were you afraid of the dark as a child?,NON_TECHNICAL,FEAR,Emotion
Were you afraid on your first day of school here in the United States? How do you feel now?,NON_TECHNICAL,FEAR,Emotion
What animal do you think is the most scary?,NON_TECHNICAL,FEAR,Emotion
What are some things which many people are afraid of? Why are they afraid of them?,NON_TECHNICAL,FEAR,Emotion
What is the scariest movie you have ever seen?,NON_TECHNICAL,FEAR,Emotion
What is your biggest fear in life? Are you afraid that it might come true?,NON_TECHNICAL,FEAR,Emotion
What kinds of things make you nervous?,NON_TECHNICAL,FEAR,Emotion
What was the most frightening experience you've had?,NON_TECHNICAL,FEAR,Emotion
When you were a child what things were you afraid of?,NON_TECHNICAL,FEAR,Emotion
How often do you have nightmares?,NON_TECHNICAL,FEAR,Emotion
Have you ever seen any reality TV shows where people face their fears for money? ,NON_TECHNICAL,FEAR,Emotion
Would you ever face one of your fears for money?,NON_TECHNICAL,FEAR,Emotion
Do you find this kind of show interesting to watch?,NON_TECHNICAL,FEAR,Emotion
What is your biggest fear?,NON_TECHNICAL,FEAR,Emotion
Have you overcome any of your fears?,NON_TECHNICAL,FEAR,Emotion
Are you afraid of being ill? What disease are you most afraid of? Why?,NON_TECHNICAL,FEAR,Emotion
Do you believe people can be cured of phobias by hypnosis?,NON_TECHNICAL,FEAR,Emotion
Are you afraid to fly?,NON_TECHNICAL,FEAR,Emotion
-Are you afraid to ride a motorcycle?,NON_TECHNICAL,FEAR,Emotion
-Are you afraid of death of dying?,NON_TECHNICAL,FEAR,Emotion
How do you cope with your fears?,NON_TECHNICAL,FEAR,Emotion
What is your biggest fear for yourself?,NON_TECHNICAL,FEAR,Emotion
What is your biggest fear for the world?,NON_TECHNICAL,FEAR,Emotion
How often do you feel afraid?,NON_TECHNICAL,FEAR,Emotion
How would you help someone to get over their fear?,NON_TECHNICAL,FEAR,Emotion
Do you have any form of phobia or paranoia?,NON_TECHNICAL,FEAR,Emotion
What were you afraid of as a child?,NON_TECHNICAL,FEAR,Emotion
What facial expressions accompany fear?,NON_TECHNICAL,FEAR,Emotion
If you 'put the fear of God into someone' how do you think that person feels?,NON_TECHNICAL,FEAR,Emotion
Are you afraid you might get sick?,NON_TECHNICAL,FEAR,Emotion
Are you afraid of speaking English?,NON_TECHNICAL,FEAR,Emotion
Are you afraid of speaking A foreign language?,NON_TECHNICAL,FEAR,Emotion
Are you afraid of speaking In front of many people?,NON_TECHNICAL,FEAR,Emotion
Are you afraid of speaking At official functions?,NON_TECHNICAL,FEAR,Emotion
Are you afraid of germs?,NON_TECHNICAL,FEAR,Emotion
What springs to mind when you hear the word   ‘anger’? ,NON_TECHNICAL,ANGER,Emotion
Are you an angry person? ,NON_TECHNICAL,ANGER,Emotion
What are you like when you are angry? ,NON_TECHNICAL,ANGER,Emotion
What’s the angriest you’ve ever been? ,NON_TECHNICAL,ANGER,Emotion
When you get angry do you stay angry for a long   time? ,NON_TECHNICAL,ANGER,Emotion
Do you like looking at other people getting   angry? ,NON_TECHNICAL,ANGER,Emotion
What colour is anger? ,NON_TECHNICAL,ANGER,Emotion
What makes you angry about modern life? ,NON_TECHNICAL,ANGER,Emotion
Someone   once said: “For every minute you are angry you lose sixty seconds of   happiness.” Do you agree? ,NON_TECHNICAL,ANGER,Emotion
Someone   once said: “Anger is one letter short of danger.” Do you agree? ,NON_TECHNICAL,ANGER,Emotion
Why do we have the emotion of anger? ,NON_TECHNICAL,ANGER,Emotion
Is there anything positive about getting angry? ,NON_TECHNICAL,ANGER,Emotion
