Question,Question Type,Sub Category,Category
 Mention what is Jenkins?,TECHNICAL,JENKINS,Tools
 Explain what is continuous integration?,TECHNICAL,JENKINS,Tools
 What is the requirement for using Jenkins?,TECHNICAL,JENKINS,Tools
 Mention what are the advantages of Jenkins?,TECHNICAL,JENKINS,Tools
 Explain how you can move or copy Jenkins from one server to another?,TECHNICAL,JENKINS,Tools
 Mention what are the commands you can use to start Jenkins manually?,TECHNICAL,JENKINS,Tools
 Mention some of the useful plugins in Jenkin?,TECHNICAL,JENKINS,Tools
 Explain how you can deploy a custom build of a core plugin?,TECHNICAL,JENKINS,Tools
 Explain how can create a backup and copy files in Jenkins?,TECHNICAL,JENKINS,Tools
 Explain how you can clone a Git repository via Jenkins?,TECHNICAL,JENKINS,Tools
 Explain how you can set up Jenkins job?,TECHNICAL,JENKINS,Tools
 Mention what are the two components Jenkins is mainly integrated with?,TECHNICAL,JENKINS,Tools
 What are the differences between Docker and Hypervisors?,TECHNICAL,DOCKER,Tools
 What is Docker?,TECHNICAL,DOCKER,Tools
 What is Docker image?,TECHNICAL,DOCKER,Tools
 What is Docker container?,TECHNICAL,DOCKER,Tools
 What is Dockerfile used for?,TECHNICAL,DOCKER,Tools
 How to create Docker container?,TECHNICAL,DOCKER,Tools
 How to stop and restart the Docker container?,TECHNICAL,DOCKER,Tools
 Do I lose my data when the Docker container exits?,TECHNICAL,DOCKER,Tools
 Mention some commonly used Docker command?,TECHNICAL,DOCKER,Tools
What is AR?,TECHNICAL,AR,Advance
How AR is different than VR?,TECHNICAL,AR,Advance
HOW AR is changing the world?,TECHNICAL,AR,Advance
Any AR Application you developed in AR?,TECHNICAL,AR,Advance
Which tools are used to develop AR Applications,TECHNICAL,AR,Advance
Will augmented reality help in the field of  marketing?,TECHNICAL,AR,Advance
 Where is augmented reality being used?,TECHNICAL,AR,Advance
 Is augmented reality expensive?,TECHNICAL,AR,Advance
Where is augmented reality heading?,TECHNICAL,AR,Advance
Explain what is OpenStack?,TECHNICAL,OPENSTACK,Clouds
Mention what are the three components that make modular architecture of OpenStack?,TECHNICAL,OPENSTACK,Clouds
Give an overview of OpenStack Services?,TECHNICAL,OPENSTACK,Clouds
What does “role” and “tenant” indicates in OpenStack?,TECHNICAL,OPENSTACK,Clouds
Explain what hypervisor is and what type of hypervisor does OpenStack supports?,TECHNICAL,OPENSTACK,Clouds
What are the two types of storage does OpenStack Compute provides?,TECHNICAL,OPENSTACK,Clouds
What are the basic functions of Identity Service in OpenStack?,TECHNICAL,OPENSTACK,Clouds
What are the main components of identity user management?,TECHNICAL,OPENSTACK,Clouds
